,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
15,12610,KOSPI,경인양행,기초 화학물질 제조업,"반응성염료,직접염료,산성염료,삼원색원료 제조,수출입",1995-10-05,12월,"김흥준,조성용 (각자대표이사)",http://www.kyungin.co.kr,인천광역시,2022-08-16,41610893.0,113852837476.0,12143244506.0,7767678066.0,7576926803.0,8777373864.0,10.67,6.82,6.66,111498299363.0,11788545931.0,7628369322.0,6918415196.0,7854558507.0,10.57,6.84,6.2,728.0,94200315116.0,2857809622.0,9613705966.0,5610760283.0,6177961230.0,3.03,10.21,5.96,80681963827.0,743699776.0,16192417940.0,-5670302068.0,29235338274.0,0.92,20.07,-7.03,536.0,403325658612.0,28354678017.0,9230962632.0,24374478668.0,585.0,6342.0,6052.0,5.13,4.21,11.48,9.68,7.640000000000001,9.65,20.86248048724627,38.1948258003202,5950,247584813350,8.17,7420,13.84,12.68,3.55,60.03,68.91,2020-07-01,25.76,24.71,2022-05-06
41,18470,KOSPI,조일알미늄,1차 비철금속 제조업,"알루미늄판 제조,도매",1988-11-22,12월,"이영호,성원모",http://www.choilal.co.kr,경상북도,2022-08-16,125848716.0,165996555138.0,20788313368.0,-18694878454.0,19050156792.0,0.0,12.52,-11.26,11.48,143122873248.0,8602267124.0,-25280431785.0,8556670430.0,0.0,6.01,-17.66,5.98,604.0,96997441966.0,3101993129.0,-8567502856.0,2513219411.0,0.0,3.2,-8.83,2.59,90854922030.0,207619232.0,528609614.0,-429271388.0,0.0,0.23,0.58,-0.47,76.0,466932503112.0,18279237886.0,-28053513184.0,15675523934.0,124.0,1788.0,1325.0,18.09,4.51,33.77,9.39,9.32,5.779999999999999,71.13498229797224,57.52902545086253,2240,281901123840,3.71,3441,45.28,27.75,6.12,503.68,53.62,2021-09-08,98.1,53.62,2021-09-08
28,68290,KOSPI,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대",2002-08-05,12월,김진용,http://www.samsungbooks.com,서울특별시,2022-08-16,10000211.0,51338029603.0,4276511281.0,9423986954.0,1473886223.0,0.0,8.33,18.36,2.87,56829981111.0,6092621730.0,16326104462.0,1692269727.0,0.0,10.72,28.73,2.98,588.0,42609406383.0,701250761.0,12712011031.0,510848036.0,0.0,1.65,29.83,1.2,41550284266.0,-1215494140.0,4157771590.0,50106018799.0,0.0,-2.93,10.01,120.59,204.0,187479540147.0,7997004015.0,44630629478.0,3159352601.0,315.0,26880.0,22339.0,1.52,0.93,2.19,1.41,6.68,13.65,20.48520259010809,36.773988710116136,28650,286506045150,48.72,50500,247.55,160.32,3.9,165.0,84.99,2021-04-09,89.14,76.27,2021-08-17
26,9580,KOSPI,무림P&P,"펄프, 종이 및 판지 제조업","표백화학펄프(B.K.P) 제조,목재가공,조림사업",1989-06-20,12월,이도균,http://www.moorimpnp.co.kr,울산광역시,2022-08-16,62366443.0,162205555518.0,10400102402.0,38533576509.0,4216107772.0,0.0,6.41,23.76,2.6,169207566056.0,10266563978.0,176527577.0,6933703515.0,0.0,6.07,0.1,4.1,268.0,137881812421.0,-8886804439.0,15114200001.0,-6632728402.0,0.0,-6.45,10.96,-4.81,132875648507.0,-5368705131.0,-18629214130.0,-9090870422.0,0.0,-4.04,-14.02,-6.84,-424.0,613699105829.0,29386707735.0,-15328185220.0,18590124909.0,298.0,10067.0,9924.0,1.11,1.25,2.66,3.0,12.86,10.11,17.641009114916006,27.342796033154265,4855,302789080765,18.12,5690,-13.42,19.09,7.22,85.62,22.35,2021-05-12,41.97,17.2,2022-04-25
50,104700,KOSPI,한국철강,1차 철강 제조업,철근. 단조강. 파이프,2008-09-29,12월,"문종인, 이수하 (각자대표)",http://www.kisco.co.kr,경상남도,2022-08-16,42446896.0,240898478939.0,22815181480.0,-12922767962.0,22823707445.0,0.0,9.47,-5.36,9.47,267099565982.0,27744024744.0,6575566444.0,28328211778.0,0.0,10.39,2.46,10.61,2148.0,135607667549.0,5451459689.0,-19698177481.0,8885455022.0,0.0,4.02,-14.53,6.55,161065449044.0,2947397908.0,25967862636.0,-44879034368.0,0.0,1.83,16.12,-27.86,836.0,886650133446.0,103286644200.0,52059221625.0,97251554504.0,2291.0,17781.0,17013.0,9.44,10.7,12.08,13.47,5.450000000000001,8.56,77.64370060561258,65.83293783201977,7190,305193182240,3.35,11000,13.16,4.8,4.06,192.13,80.81,2021-04-27,55.87,52.99,2021-09-07
4,1250,KOSPI,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,이영환,http://www.gsgcorp.com,서울특별시,2022-08-12,82534233.0,1250815970594.0,23806175111.0,-48464923365.0,11878983174.0,0.0,1.9,-3.87,0.95,1302108016655.0,1082821236.0,-155521615342.0,-7659204605.0,0.0,0.08,-11.94,-0.59,572.0,679474772887.0,8063599045.0,-13988792667.0,2993625299.0,0.0,1.19,-2.06,0.44,641467153599.0,-8942976115.0,29431454002.0,-98850721193.0,0.0,-1.39,4.59,-15.41,144.0,3849040520289.0,38846703450.0,-344280590221.0,23321678873.0,282.0,4408.0,4149.0,2.97,1.62,12.97,6.81,0.71,1.47,84.08571156798736,,3720,307027346760,6.5,4650,32.29,16.49,8.9,169.57,25.0,2022-05-03,102.17,25.0,2022-05-03
12,2710,KOSPI,TCC스틸,1차 철강 제조업,"석도강판,표면처리강판 제조,판매",1984-12-21,12월,"손봉락, 조석희, 손기영 (각자대표)",http://www.tccsteel.com,경상북도,2022-08-12,23498537.0,136722700945.0,8690799822.0,-11266750884.0,4630919393.0,4551135319.0,6.36,-8.24,3.39,151933702439.0,10056947733.0,6706996154.0,16587026590.0,16929000026.0,6.62,4.41,10.92,788.0,116809168229.0,1502793095.0,6117753886.0,1204349662.0,1039205104.0,1.29,5.24,1.03,107105709170.0,-1163478398.0,1889909971.0,-1597086077.0,28650976085.0,-1.09,1.76,-1.49,204.0,536651129324.0,25597715868.0,7630670677.0,28807250405.0,1225.0,7266.0,6605.0,4.8,7.85,10.84,18.56,5.07,7.71,17.04791928400711,41.85397175966432,13600,319580103200,17.26,14800,72.55,12.08,5.4,537.38,8.82,2022-07-25,85.3,8.82,2022-07-25
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2022-08-12,46821382.0,295803640038.0,19242745659.0,2986064682.0,10854923388.0,0.0,6.51,1.01,3.67,231171942223.0,15256320579.0,-5686381096.0,441362225.0,0.0,6.6,-2.46,0.19,924.0,240931609871.0,3854976431.0,-4407379720.0,4779675291.0,0.0,1.6,-1.83,1.98,177672260254.0,-2483940918.0,42204489753.0,-781129047.0,0.0,-1.4,23.75,-0.44,408.0,1026749457003.0,45109542821.0,-11318072318.0,76737133075.0,1638.0,7709.0,7742.0,3.17,5.66,11.99,21.17,4.91,8.0,22.77494023983805,30.111443335339423,7830,366611421060,8.47,8030,19.68,4.9,4.19,127.54,2.55,2022-07-29,50.94,2.55,2022-07-29
22,3220,KOSPI,대원제약,의약품 제조업,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",1999-12-15,12월,"백승호,백승열",http://www.daewonpharm.com,서울특별시,2022-08-16,21845535.0,117056615266.0,13920988565.0,9210777037.0,10505252315.0,0.0,11.89,7.87,8.97,100958239652.0,10713698733.0,11987065363.0,5748744479.0,0.0,10.61,11.87,5.69,1920.0,74993570919.0,-2270701307.0,-6101970534.0,-8080616002.0,0.0,-3.03,-8.14,-10.78,77467918283.0,1565361833.0,7534463550.0,2190509202.0,0.0,2.02,9.73,2.83,-1476.0,354176435161.0,19425905258.0,22413390635.0,6988825613.0,319.0,10466.0,9997.0,9.12,1.63,18.34,3.2,14.92,8.59,56.088867127599485,30.322644379298943,18050,394311906750,9.4,23372,-15.83,73.27,5.08,78.19,39.0,2020-07-24,50.0,29.48,2021-08-24
14,37270,KOSPI,YG PLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01,12월,최성준,http://www.ygplus.com,서울특별시,2022-08-16,63437241.0,30475361684.0,3791310740.0,5783496382.0,6370732073.0,3874118974.0,12.44,18.98,20.9,41979981897.0,8815971603.0,-594712398.0,13905189282.0,14942672562.0,21.0,-1.42,33.12,400.0,26597655024.0,1426338451.0,-1407601221.0,3197994548.0,1834822609.0,5.36,-5.29,12.02,33367727671.0,3151697221.0,201863040.0,-3285827636.0,21076063421.0,9.45,0.6,-9.85,200.0,154302563674.0,25571451133.0,7800716725.0,21926213919.0,345.0,2523.0,2297.0,10.7,9.83,15.85,15.05,7.079999999999999,11.55,14.57912983870574,25.81013100716756,6860,435179473260,17.15,10050,50.25,29.13,2.14,661.36,46.5,2021-11-17,60.11,46.5,2021-11-17
