,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
112,1357,37230,KOSDAQ,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업","카톤팩, 골판지 상자",1999-12-21,12월,"이명신, 이우진",http://www.hkpak.co.kr,경기도,2022-08-16,29798573.0,53736331956.0,986687380.0,-6327018763.0,83675342.0,0.0,1.84,-11.77,0.16,13104896914.0,-1742620561.0,-1279799998.0,-496931255.0,0.0,-13.3,-9.77,-3.79,8.0,13173108920.0,117971746.0,4888590899.0,307614110.0,0.0,0.9,37.11,2.34,13814280290.0,522441307.0,-753246235.0,649588864.0,0.0,3.78,-5.45,4.7,40.0,56223518386.0,-2104043009.0,2501283510.0,-504442585.0,-16.0,3707.0,2608.0,0.08,-0.28,0.22,-0.65,0.94,-17.080000000000002,307.92444883238693,,3520,104890976960,440.0,5610,140.25,-350.62,3.29,276.15,132.95,2020-12-21,59.92,59.38,2021-12-15
224,194,290670,KOSDAQ,대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2018-11-06,12월,"이준각, 이상익 각자대표",http://www.daebo.com,경기도,2022-08-16,7824074.0,25474368279.0,6025865593.0,3334133478.0,5329298926.0,0.0,23.65,13.09,20.92,17792419828.0,2189309003.0,4952345719.0,2095432544.0,0.0,12.3,27.83,11.78,2724.0,6319684374.0,409123348.0,-986680575.0,507219466.0,0.0,6.47,-15.61,8.03,2950015783.0,-1019562645.0,1558631016.0,-1109355287.0,0.0,-34.56,52.83,-37.61,256.0,42919554645.0,5759535913.0,1715216214.0,5049756684.0,645.0,8228.0,7494.0,26.61,7.29,33.11,8.61,17.18,46.86,303.09557837737674,503.1296486795779,53300,417023144200,19.57,71300,278.52,110.54,15.76,203.4,33.77,2022-01-20,115.9,33.77,2022-01-20
93,1296,335810,KOSDAQ,프리시젼바이오,의료용 기기 제조업,체외진단 기기 및 시약,2020-12-22,12월,김한신,http://precision-bio.com/,대전광역시,2022-08-16,11576634.0,7124836967.0,37294044.0,-1002386391.0,-120413896.0,0.0,0.52,-14.07,-1.69,6713174328.0,-1046484887.0,-1151236253.0,-1537294844.0,0.0,-15.59,-17.15,-22.9,-40.0,1779161752.0,-1121274219.0,-1881226346.0,-964742463.0,0.0,-63.02,-105.74,-54.22,5081259561.0,604993014.0,-608674065.0,365291094.0,0.0,11.91,-11.98,7.19,-332.0,15887167812.0,-4269467129.0,-4574643462.0,-4152248836.0,-358.0,3659.0,3312.0,-0.64,-7.45,-1.09,-10.83,63.540000000000006,-27.5,300.4603268359829,,7990,92497305660,-199.75,17200,-51.81,-48.04,1.5,346.55,354.32,2021-01-07,122.31,115.27,2021-09-07
228,418,121800,KOSDAQ,비덴트,통신 및 방송 장비 제조업,방송용 LCD모니터,2011-12-01,12월,김영만,http://www.vidente.co.kr,서울특별시,2022-08-26,55425022.0,9239041329.0,444858158.0,1612560591.0,4549347563.0,0.0,4.81,17.45,49.24,8381655143.0,468126968.0,-3063971862.0,43479534867.0,0.0,5.59,-36.56,518.75,328.0,2381821231.0,-586392657.0,-61576889063.0,97277785706.0,0.0,-24.62,-2585.29,4084.18,2477710414.0,-3843042135.0,706739401.0,1668746688.0,0.0,-155.1,28.52,67.35,7020.0,17686241397.0,772428692.0,-3222801697.0,223299440697.0,4028.0,14699.0,12020.0,1.76,25.56,2.23,33.52,29.43,160.69,287.89818516820503,238.28227445953652,8210,455039430620,25.03,36350,5.18,9.02,26.26,462.17,342.75,2021-12-01,290.65,342.75,2021-12-01
255,796,66970,KOSDAQ,엘앤에프,일차전지 및 축전지 제조업,2차전지 양극활물질,2003-01-02,12월,최수안,http://www.landf.co.kr,대구광역시,2022-08-16,35931579.0,553588700000.0,53046644000.0,-32949714000.0,70708281000.0,0.0,9.58,-5.95,12.77,380115793201.0,28253785454.0,-17781857911.0,-93537651822.0,0.0,7.43,-4.68,-24.61,7868.0,144487049000.0,-3268101000.0,-31750232000.0,-3979263000.0,0.0,-2.26,-21.97,-2.75,100755898629.0,-1264845890.0,13956569907.0,-14893910604.0,0.0,-1.26,13.85,-14.78,-440.0,970760874482.0,44252213145.0,-138078706855.0,-113092847715.0,-3147.0,22653.0,17677.0,14.46,-7.38,34.73,-17.8,11.84,8.69,283.14070626496084,277.26405934867364,243800,8760118960200,30.99,276600,-628.64,-87.89,2.87,1228.85,13.45,2022-05-23,53.88,13.45,2022-05-23
57,1331,106080,KOSDAQ,하이소닉,전자부품 제조업,휴대폰 카메라용 Auto Focus Actuator,2010-02-09,12월,박광제,http://www.hysonic.com,경기도,2022-08-16,12834429.0,8634309349.0,199594282.0,-2622068628.0,194659164.0,178109592.0,2.31,-30.37,2.25,-1692518763.0,1360225586.0,-1061472023.0,-3358777061.0,1712645970.0,-80.37,62.72,198.45,60.0,2258411260.0,-1130741572.0,-2427829959.0,-1403744495.0,-988118941.0,-50.07,-107.5,-62.16,2301795159.0,1343871587.0,-1677190737.0,-3255619629.0,-606186203.0,58.38,-72.86,-141.44,-436.0,4269512680.0,-3001486828.0,-4083291551.0,-8726534416.0,-679.0,595.0,774.0,4.58,-51.81,10.07,-87.81,52.38,-138.75,282.3178489200413,,5560,71359425240,92.67,5560,-12.75,-8.19,0.0,0.0,0.0,2022-08-16,0.0,0.0,2022-08-16
157,462,46390,KOSDAQ,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)",2001-01-11,12월,"공동대표이사 안제현, 신상윤",http://www.shnetworks.co.kr,서울특별시,2022-08-12,43171641.0,12120937533.0,4675078845.0,1842873519.0,1508480403.0,0.0,38.57,15.2,12.45,27764552752.0,9012852358.0,7951526121.0,8192481458.0,0.0,32.46,28.64,29.51,136.0,3420200944.0,-392207368.0,-5157301406.0,-171575723.0,0.0,-11.47,-150.79,-5.02,4145619808.0,380994519.0,-3762177088.0,-669714336.0,0.0,9.19,-90.75,-16.15,-12.0,32924849512.0,6750170051.0,-3454101876.0,6409043373.0,148.0,1219.0,1021.0,5.64,7.93,11.15,14.53,50.04,23.270000000000003,254.39255562640412,569.7322484425953,3495,150884885295,25.7,5700,-475.0,38.51,12.43,303.97,63.09,2022-04-15,88.12,63.09,2022-04-15
78,1102,158310,KOSDAQ,참존글로벌,특수 목적용 기계 제조업,"FPCB 공정 자동화 장비(가이드홀펀처, 비젼프레스, 커버레이가접기 등)",2013-04-03,12월,이홍배,http://www.sehorobo.com,경기도,2022-08-16,47843559.0,1121279567.0,548796166.0,-742522669.0,501953353.0,0.0,48.94,-66.22,44.77,368094278.0,1670722958.0,-4064418397.0,7438346104.0,0.0,453.88,-1104.18,2020.77,40.0,339033548.0,-1000020064.0,-1222341434.0,6103901748.0,0.0,-294.96,-360.54,1800.38,210401488.0,3720683779.0,-2279129838.0,13641861958.0,0.0,1768.37,-1083.23,6483.73,508.0,3499188691.0,-407930563.0,-9537826339.0,12180195209.0,254.0,554.0,556.0,6.59,40.66,7.22,45.74,343.9,-1314.4899999999998,230.72820480880551,,1680,80377179120,42.0,1680,3.31,6.61,0.0,586.13,586.13,2019-10-25,0.0,0.0,2022-08-16
105,99,35290,KOSDAQ,골드앤에스,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,신승호,http://www.wfminc.co.kr,서울특별시,2022-08-16,36224451.0,4412179105.0,299584658.0,665466939.0,307167151.0,307167151.0,6.79,15.08,6.96,4698347507.0,751501488.0,737276345.0,214362838.0,790661535.0,16.0,15.69,4.56,32.0,1340928150.0,27026390.0,206070550.0,-485121063.0,-485121063.0,2.02,15.37,-36.18,701695995.0,-1040658532.0,66825742.0,5173764262.0,4991300219.0,-148.31,9.52,737.32,-52.0,13506638600.0,1355619421.0,2035558915.0,770698315.0,21.0,429.0,418.0,4.26,2.95,7.45,5.08,4.77,164.31,229.0391886396001,569.5702327615536,2770,100341729270,86.56,6600,-126.92,314.29,15.51,216.17,346.86,2019-08-22,171.05,138.27,2022-04-27
119,1200,352770,KOSDAQ,클리노믹스,의료용품 및 기타 의약 관련제품 제조업,"Geno Series, CD-PRIME, Cancer Prime",2020-12-04,12월,"정종태, 박종화(각자 대표이사)",http://www.clinomics.com,울산광역시,2022-08-12,13618793.0,12807036648.0,1310772799.0,-2515773421.0,712518825.0,0.0,10.23,-19.64,5.56,28323252103.0,15007674139.0,6099640585.0,12974773467.0,0.0,52.99,21.54,45.81,208.0,3968111697.0,-1122234090.0,-2477309104.0,-1140236551.0,0.0,-28.28,-62.43,-28.73,2003451314.0,-3350692271.0,-2112919623.0,-3287305840.0,0.0,-167.25,-105.46,-164.08,-332.0,55426003735.0,22924005862.0,2117902118.0,15852874678.0,1164.0,5405.0,4303.0,2.34,15.45,3.85,27.05,38.510000000000005,220.24,222.74889483787632,1313.7230041518244,8270,112627418110,39.76,13400,-40.36,11.51,5.87,126.74,170.25,2021-01-07,57.28,62.03,2021-09-10
